crypto,nft
13848215.16,
13872197.74,
13798435.63,
13727813.13,
13687680.35,
13686352.98,
13591421.74,
13539647.55,
13539828.46,
13504878.92,
13472079.67,
13366203.8,
13304372.16,
13176284.5,
13168703.7,
13114363.06,
13106009.15,
13103972.25,
13100995.7,
12928602.92,
12925721.28,
12881195.41,
12800260.16,
12741585.9,
12698939.49,
12618033.56,
12488419.76,
12466951.33,
12379970.39,
12233556.95,
11998695.16,
11977023.37,
12019355.68,
11930189.83,
11861805.15,
11843375.11,
11733069.12,
11707030.75,
11623511.64,
11618652.16,
11617446.63,
11616200.34,
11516815.36,
11527827.73,
11503260.58,
11497764.89,
11497316.78,
11396294.87,
11426600.63,
11420489.68,
11402808.3,
11386327.56,
11250013.7,
11284581.27,
11232802.68,
11222474.44,
11220705.25,
11324446.97,
11216209.83,
11182069.7,
11135048.75,
11041261.42,
11020380.46,
10999994.91,
10961324.7,
10953365.99,
10904318.71,
10923367.06,
10868034.17,
10803358.64,
10791730.71,
10772117.46,
10809571.1,
10738736.01,
10733940.04,
10711622.54,
10695439.84,
10685328.01,
10687574.66,
10568530.67,
10553313.18,
10499646.38,
10419898.24,
10357817.54,
10265894.96,
10252077.22,
10168022.31,
10122398.23,
10100359.56,
10093756.61,
10053751.48,
9981830.385,
9939819.076,
9938070.159,
9928132.357,
9857483.88,
9856215.865,
9836890.377,
9835998.692,
9815385.668,
9770373.425,
9794930.851,
9780616.873,
9741183.675,
9677425.571,
9656425.438,
9631669.538,
9585459.717,
9553980.61,
9503464.215,
9505325.066,
9459795.653,
9376611.725,
9336140.899,
9310042.021,
9283576.22,
9268546.392,
9262755.956,
9219390.467,
9216129.158,
9206418.684,
9104525.535,
9112977.432,
9091561.993,
9086014.649,
9082023.794,
9073126.687,
9090229.484,
9056306.077,
8999972.977,
8969801.41,
8922085.319,
8842723.66,
8846132.139,
8775227.265,
8746680.454,
8730437.173,
8724312.554,
8644935.003,
8655225.82,
8613671.803,
8587241.102,
8554130.101,
8529648.24,
8507343.875,
8504575.064,
8464875.891,
8441493.504,
8431095.129,
8411205.586,
8382388.507,
8349494.386,
8345426.408,
8307293.933,
8297842.102,
8270040.509,
8256444.61,
8212475.29,
8156176.602,
8132177.224,
8130324.369,
8114456.468,
8189961.508,
8090958.746,
8088862.097,
8076775.489,
8062026.744,
8040266.104,
8042305.765,
8006405.876,
7955001.775,
7907476.061,
7876598.089,
7861746.584,
7862139.359,
7855629.005,
7837376.886,
7832503.731,
